time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Activity
2025-11-21 14:33:03.181921+00:00,-0.3589,0.9562,-0.3575,-0.4632,2.5112,1.6707,-0.4659,1.3772,0.4792,111.1029,-134.7233,-29.3576,Sit
2025-11-21 14:33:03.282112+00:00,-0.0811,0.793,-0.7125,1.3853,1.5595,-0.5073,-0.1263,1.8121,-1.4511,92.9001,-136.9139,-21.8311,Sit
2025-11-21 14:33:03.384476+00:00,0.0117,0.334,-1.0885,2.1286,-2.5672,-3.1075,-0.0176,0.522,0.3571,75.669,-141.8417,-16.1174,Sit
2025-11-21 14:33:03.482431+00:00,-0.3516,0.8844,-0.6959,-2.4614,1.1145,-1.083,-2.2729,-0.7511,1.4859,77.9455,-131.1687,-18.2969,Sit
2025-11-21 14:33:03.582760+00:00,0.0205,0.9918,-0.2388,0.9984,1.4286,1.4343,-2.3865,-1.7553,2.1163,78.5996,-117.4753,-5.8218,Sit
2025-11-21 14:33:03.683026+00:00,0.1582,0.9239,-0.0708,1.3363,-0.2441,1.7208,-0.6773,-0.1903,0.3155,77.6969,-104.5076,-0.2233,Sit
2025-11-21 14:33:03.783105+00:00,0.0171,0.9068,-0.2954,-0.0346,-0.7361,-0.8559,-0.8129,-0.3186,-0.0742,76.4906,-102.4271,0.966,Sit
2025-11-21 14:33:03.883198+00:00,-0.0591,1.1676,-0.0923,-0.6308,2.1159,0.5566,0.2195,-0.5678,0.5354,84.1195,-98.2859,-1.7095,Sit
2025-11-21 14:33:03.983593+00:00,0.0425,0.7227,-0.1226,0.164,-1.8722,0.1974,-0.13,0.5586,-0.1817,81.3026,-100.275,0.6124,Sit
2025-11-21 14:33:04.083859999+00:00,-0.0576,0.5396,-0.0264,-2.1932,-4.1698,0.687,-0.3902,0.599,-0.1145,83.677,-99.4203,-1.8928,Sit
2025-11-21 14:33:04.183867+00:00,-0.0142,0.7081,-0.0024,-0.6902,-1.8901,2.6764,1.7442,1.6142,2.2739,77.0327,-105.7189,2.6182,Sit
2025-11-21 14:33:04.284141+00:00,0.3179,0.9693,-0.504,2.7737,3.4842,-3.1722,-0.4403,-1.2581,-0.7205,47.8753,-121.2638,19.7071,Sit
2025-11-21 14:33:04.387850+00:00,0.2964,0.7901,-0.4849,0.182,-0.3812,-1.2234,-0.3425,0.5195,-0.1109,45.7916,-120.4714,19.4342,Sit
2025-11-21 14:33:04.484967+00:00,0.3282,0.835,-0.3887,0.2577,-0.1477,-0.0443,0.013,0.1335,-0.0449,43.6215,-119.8638,19.9147,Sit
2025-11-21 14:33:04.585218+00:00,0.3252,0.859,-0.3741,0.1071,0.0009,-0.0013,-0.097,-0.0168,0.0516,43.1053,-119.6776,20.0069,Sit
2025-11-21 14:33:04.685489+00:00,0.2891,0.8404,-0.357,-0.2344,-0.2147,0.1914,-0.053,-0.8647,0.208,44.6973,-119.6309,20.0162,Sit
2025-11-21 14:33:04.785631+00:00,0.2901,0.8111,-0.4581,0.1099,-0.287,-0.1637,0.3428,-2.4908,0.3424,57.4057,-121.1778,18.066,Sit
2025-11-21 14:33:04.885787+00:00,0.2525,0.7359,-0.6749,0.7637,-0.6943,-1.0742,0.6642,-2.9209,0.0418,82.5164,-125.3859,12.2777,Sit
2025-11-21 14:33:04.986042+00:00,-0.0713,0.9088,-0.7208,0.0177,1.5115,-0.1942,1.6623,-3.7272,-0.139,125.3721,-131.1082,-4.4697,Sit
2025-11-21 14:33:05.086123+00:00,-0.0947,0.7164,-0.7652,0.6321,-0.1358,-0.3709,-0.1898,0.4389,0.1604,149.4919,-136.3516,-14.7286,Sit
2025-11-21 14:33:05.186323+00:00,-0.1651,0.6817,-0.6353,0.0276,0.044,0.4779,0.2182,0.0846,-0.1231,146.9789,-136.2125,-13.8079,Sit
2025-11-21 14:33:05.286700+00:00,-0.1455,0.6265,-0.9303,0.1827,-0.2625,-1.9805,0.3587,-0.0327,-0.0449,144.9384,-138.7159,-12.6485,Sit
